unique_file_id,selected_signal,selected_signal_g1,selected_signal_g2,surviving_signal,surviving_signal_g1,surviving_signal_g2,surviving_photons
553,0.2258146540483789,0.2258150205661185,0.2258147965830554,1.0,0.9756312262368049,0.9502313738042281,0.29284375296964477
833,0.2700639742333753,0.2700636280777323,0.2700628339559632,1.0,0.9756312262368049,0.9502313738042281,0.34236353589126683
549,0.4027175564704158,0.4027173121252561,0.4027170677800963,1.0,0.9756312262368049,0.9502313738042281,0.4979262267214164
271,0.4246249326296171,0.424624077421558,0.4246226927989861,1.0,0.9756312262368049,0.9502313738042281,0.5279098569065239
12,0.4667830654891899,0.466783635627896,0.466778300758575,1.0,0.9756312262368049,0.9502313738042281,0.5779929909565477
767,0.5851757479095772,0.5851729379402402,0.5851704944886429,1.0,0.9756312262368049,0.9502313738042281,0.7179556801378765
722,0.616505480670205,0.6164502993882975,0.6162760812894044,1.0,0.9756312262368049,0.9502313738042281,0.7562173444545387
691,0.6404465008697116,0.6404408809310377,0.6404304555375555,1.0,0.9756312262368049,0.9502313738042281,0.7790998964194142
608,0.6768114950612517,0.6767250375988978,0.6764764571230578,1.0,0.9756312262368049,0.9502313738042281,0.8227056789031062
503,0.7029038114954774,0.7023707318053158,0.7011394765453965,1.0,0.9756312262368049,0.9502313738042281,0.8545863260052943
